T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
23.8,33.8,11.6,1013.6,38.0,6.9,2.2,5.4,69.66666666666667
23.6,34.9,14.0,1013.3,34.0,6.3,2.8,5.4,79.83333333333333
23.5,33.9,11.7,1013.4,30.0,6.3,3.5,9.4,62.70833333333334
23.9,33.7,13.5,1013.3,37.0,6.3,2.2,7.6,21.20833333333333
23.4,34.1,13.5,1013.9,38.0,6.3,0.7,5.4,1.9166666666666667
22.9,34.6,11.6,1013.6,28.0,6.3,2.2,9.4,1.8333333333333333
24.7,34.9,13.3,1012.9,37.0,6.3,1.5,5.4,105.83333333333331
26.2,36.7,15.0,1012.4,38.0,6.3,1.9,5.4,117.58333333333331
26.7,36.0,16.1,1010.6,32.0,6.3,1.5,5.4,122.70833333333331
25.9,34.9,15.3,1010.6,37.0,6.9,3.3,16.5,111.95833333333331
25.6,35.0,15.3,1010.9,40.0,5.8,2.4,7.6,59.20833333333334
27.3,36.0,17.5,1010.5,39.0,6.9,1.5,3.5,77.20833333333333
25.1,35.0,14.8,1009.7,25.0,6.3,3.9,7.6,98.70833333333331
25.2,34.5,13.7,1010.8,26.0,6.9,3.1,9.4,123.70833333333331
26.1,35.2,13.0,1008.8,31.0,6.9,2.0,5.4,64.79166666666667
29.6,36.9,20.6,1007.7,37.0,6.9,1.9,3.5,52.33333333333334
28.1,36.1,20.6,1007.7,39.0,6.3,3.1,7.6,52.04166666666666
27.6,36.0,17.9,1007.9,32.0,6.9,3.5,7.6,128.33333333333334
27.7,37.0,16.2,1007.4,35.0,6.9,3.3,7.6,0.0
28.3,37.8,16.6,1007.7,30.0,6.9,4.8,14.8,23.20833333333333
27.5,36.0,17.9,1008.9,36.0,6.9,4.1,9.4,15.166666666666664
26.3,36.1,18.6,1009.4,39.0,6.9,3.1,11.1,21.25
27.6,37.0,16.5,1007.3,28.0,6.3,3.0,7.6,81.83333333333333
28.1,38.3,15.1,1007.2,26.0,6.9,3.9,7.6,105.33333333333331
29.7,38.9,17.1,1006.7,29.0,6.9,1.9,3.5,117.75
31.6,39.5,21.7,1007.1,29.0,6.9,3.1,7.6,84.5
30.3,38.3,21.7,1008.1,34.0,6.9,3.5,7.6,46.91666666666666
28.6,37.8,19.9,1007.5,27.0,6.9,6.5,9.4,104.625
26.7,34.6,20.4,1006.3,52.0,6.9,6.9,11.1,110.875
26.9,34.7,19.9,1006.6,51.0,6.9,6.9,16.5,42.95833333333334
27.4,35.6,19.4,1006.5,52.0,6.9,6.5,14.8,0.0
31.4,39.1,22.8,1007.8,41.0,6.9,1.1,3.5,120.875
31.1,38.8,23.6,1008.4,37.0,6.9,1.1,3.5,79.91666666666667
32.0,39.7,21.5,1007.3,30.0,6.9,2.2,5.4,0.0
32.9,41.3,22.8,1004.2,34.0,6.9,4.8,9.4,94.75
32.8,40.4,26.2,1003.2,32.0,6.6,5.6,7.6,142.5
30.6,37.2,22.6,1004.2,26.0,6.9,6.7,14.8,133.375
30.4,40.0,22.7,1005.3,45.0,6.9,5.6,11.1,147.83333333333334
30.7,39.8,23.0,1005.6,44.0,6.9,5.9,9.4,158.29166666666666
30.7,37.8,24.2,1006.0,44.0,6.9,6.1,11.1,149.58333333333334
28.9,36.7,20.8,1004.9,53.0,6.9,5.6,7.6,101.5
29.0,36.1,23.2,1004.4,51.0,6.9,6.3,7.6,106.5
29.1,36.6,23.8,1004.1,56.0,7.6,5.9,7.6,128.125
30.8,38.2,24.9,1004.7,47.0,6.9,6.5,7.6,101.95833333333331
31.6,40.6,25.4,1004.4,49.0,6.9,5.9,16.5,98.41666666666669
29.1,34.3,25.6,1006.9,54.0,6.9,8.9,14.8,94.375
29.1,35.8,24.5,1006.6,58.0,6.9,11.5,16.5,107.625
29.5,36.1,24.9,1006.3,57.0,6.9,10.2,18.3,110.41666666666669
29.3,35.5,24.8,1006.5,58.0,6.3,12.6,20.6,95.83333333333331
29.1,35.8,23.9,1003.0,55.0,6.9,10.2,16.5,72.25
29.1,36.6,23.6,1003.5,55.0,6.9,6.9,14.8,38.66666666666666
27.8,35.4,22.0,1002.6,60.0,6.6,5.0,11.1,45.375
25.4,36.1,22.7,1003.5,74.0,6.9,5.2,14.8,65.16666666666667
26.0,33.1,20.8,1002.6,81.0,6.9,1.5,5.4,66.08333333333333
26.1,31.4,22.8,1002.3,75.0,6.3,4.4,11.1,77.66666666666667
24.7,28.1,23.4,1003.4,81.0,5.5,5.7,9.4,70.25
25.4,29.3,22.4,999.9,75.0,7.7,8.3,16.5,56.29166666666666
24.5,28.2,22.3,999.7,79.0,5.5,7.6,9.4,77.0
25.3,32.0,22.2,998.8,79.0,6.3,5.9,9.4,32.958333333333336
25.7,30.4,21.2,1003.2,78.0,7.4,6.3,7.6,80.625
25.2,29.8,22.0,1004.6,77.0,6.9,7.4,11.1,90.70833333333331
25.5,29.1,22.7,1005.0,74.0,6.3,7.4,11.1,97.29166666666669
23.4,26.1,21.9,1004.4,89.0,4.0,4.8,11.1,50.70833333333334
24.3,27.6,21.8,1005.7,85.0,6.3,4.4,7.6,40.375
24.8,28.3,22.4,1005.0,80.0,6.9,7.2,14.8,49.41666666666666
24.1,27.8,21.8,1004.0,85.0,4.8,4.3,11.1,61.875
24.6,28.2,22.2,1002.3,85.0,6.3,4.8,7.6,0.0
24.2,26.3,22.6,1002.2,87.0,5.8,5.2,7.6,29.66666666666667
24.6,30.1,22.4,1004.8,83.0,6.9,6.7,14.8,49.125
24.4,28.8,21.8,1004.2,80.0,6.3,7.4,11.1,43.66666666666666
24.6,28.7,22.1,1003.3,79.0,6.3,5.9,7.6,29.83333333333333
24.1,27.6,21.6,1003.9,84.0,6.9,8.1,14.8,35.208333333333336
24.0,27.6,21.7,1004.6,83.0,6.3,5.2,9.4,37.625
23.9,26.9,21.9,1004.7,81.0,6.3,4.3,5.4,41.458333333333336
23.0,24.4,22.0,1002.3,91.0,4.8,4.8,14.8,38.583333333333336
22.9,25.7,21.4,1003.4,92.0,4.8,4.6,7.6,36.0
23.4,26.9,21.7,1002.7,90.0,4.0,5.2,7.6,70.58333333333333
23.2,26.1,21.6,1001.8,89.0,6.3,6.9,11.1,33.166666666666664
23.5,27.5,21.4,1001.9,87.0,4.0,4.3,7.6,38.25
23.3,26.4,21.8,1003.9,92.0,4.8,4.3,7.6,26.58333333333333
22.5,24.4,21.7,1002.3,90.0,4.0,10.0,20.6,15.416666666666664
22.6,24.2,21.2,1000.8,90.0,4.8,7.4,11.1,41.375
22.9,25.5,20.2,1002.3,84.0,5.5,5.9,7.6,25.54166666666667
24.4,28.8,21.3,1004.5,79.0,5.5,7.2,20.6,28.375
24.1,27.8,20.9,1006.9,81.0,6.9,3.1,5.4,50.33333333333334
23.6,27.2,20.0,1007.3,83.0,6.9,4.8,9.4,35.375
23.3,26.4,21.4,1007.1,84.0,6.9,7.6,14.8,31.91666666666667
23.2,26.1,21.4,1004.3,87.0,5.5,6.7,9.4,35.291666666666664
24.3,28.7,21.5,1004.6,83.0,6.9,4.8,11.1,26.83333333333333
24.3,29.0,21.8,1005.9,81.0,6.9,2.8,5.4,21.125
24.8,28.6,21.4,1006.0,74.0,6.3,6.7,11.1,35.708333333333336
24.9,29.4,21.9,1005.3,70.0,6.9,15.0,22.2,43.58333333333334
25.0,29.7,22.5,1004.9,72.0,6.9,13.3,24.1,46.04166666666666
23.1,26.7,21.3,1006.1,83.0,5.5,4.4,5.4,82.875
23.2,26.3,20.5,1006.2,83.0,5.5,5.0,7.6,64.91666666666667
24.2,27.4,20.0,1006.8,79.0,6.9,6.3,16.5,30.66666666666667
24.6,30.7,19.8,1008.3,78.0,6.9,3.7,7.6,34.416666666666664
25.1,31.3,18.2,1008.6,70.0,6.9,4.6,9.4,33.166666666666664
24.9,30.5,19.5,1008.9,73.0,6.9,3.3,5.4,30.625
24.8,30.0,19.7,1008.8,72.0,6.9,5.7,7.6,30.33333333333333
24.0,29.7,19.6,1009.1,75.0,6.9,5.9,11.1,0.0
24.7,30.5,21.0,1008.7,76.0,6.3,3.0,7.6,0.0
23.8,27.5,21.6,1008.8,88.0,6.3,2.2,5.4,0.0
25.4,32.3,21.4,1007.4,83.0,5.5,0.7,5.4,76.875
24.7,32.4,21.0,1006.5,80.0,6.3,1.1,3.5,83.45833333333333
25.1,30.7,22.1,1004.2,81.0,6.9,2.0,5.4,71.66666666666667
23.6,27.8,19.6,1003.4,86.0,6.3,2.4,5.4,69.70833333333333
25.6,29.3,21.4,1002.9,80.0,6.9,8.9,20.6,62.375
24.7,28.9,21.9,1003.6,76.0,6.9,10.7,16.5,24.875
24.1,27.9,21.5,1006.8,79.0,5.5,4.3,9.4,43.95833333333334
24.5,30.1,20.9,1008.8,82.0,6.9,2.6,7.6,41.5
24.1,28.8,20.2,1009.4,83.0,6.3,3.9,7.6,38.79166666666666
25.2,30.2,21.2,1006.0,75.0,6.9,5.9,7.6,30.33333333333333
25.1,31.0,21.0,1006.6,75.0,6.9,4.4,11.1,26.66666666666667
26.4,31.6,20.6,1005.7,70.0,6.9,4.3,7.6,29.0
24.9,31.2,19.9,1009.5,77.0,5.8,2.2,5.4,61.70833333333334
25.1,31.0,21.0,1009.6,77.0,6.9,4.8,7.6,60.54166666666666
23.8,29.7,20.1,1009.6,75.0,7.7,4.3,7.6,41.583333333333336
24.7,29.0,20.5,1007.3,78.0,6.6,4.1,9.4,80.04166666666667
25.0,31.7,19.9,1008.8,77.0,6.3,1.3,3.5,82.83333333333333
24.9,32.1,19.4,1009.7,79.0,5.5,0.9,3.5,95.25
26.3,33.4,17.5,1010.5,65.0,6.9,1.1,5.4,126.16666666666669
26.1,32.8,18.9,1009.5,64.0,6.3,1.5,5.4,136.70833333333334
24.1,32.1,18.3,1008.2,64.0,6.3,0.7,5.4,160.66666666666666
25.5,32.1,20.7,1006.2,75.0,6.3,1.9,5.4,245.66666666666663
26.4,31.7,21.1,1007.2,75.0,6.3,0.9,5.4,261.6666666666667
26.6,33.3,21.7,1008.9,74.0,6.3,2.2,5.4,272.4166666666667
24.2,31.5,18.2,1012.9,60.0,6.3,0.4,3.5,149.625
23.3,30.3,15.2,1013.1,57.0,6.6,1.3,5.4,99.70833333333331
26.2,31.7,15.8,1012.0,60.0,6.9,2.0,3.5,217.375
25.3,32.3,17.8,1012.3,65.0,6.3,1.3,5.4,309.375
22.7,29.9,14.7,1012.6,65.0,6.3,2.0,9.4,321.5416666666667
23.5,30.6,16.1,1011.5,66.0,5.5,0.9,3.5,278.0
22.9,30.2,16.7,1011.6,64.0,5.5,1.7,7.6,192.33333333333331
21.0,30.3,12.1,1011.4,59.0,4.8,0.4,1.9,224.16666666666663
20.6,29.3,12.6,1012.3,61.0,6.3,1.3,3.5,196.75
20.4,28.6,12.7,1012.8,59.0,6.3,1.9,7.6,221.54166666666663
23.8,32.6,15.5,1012.8,59.0,6.3,0.2,1.9,166.70833333333334
21.8,32.0,13.6,1010.9,59.0,6.0,0.2,1.9,130.70833333333334
20.6,31.2,11.7,1009.7,56.0,5.5,0.9,3.5,194.70833333333331
25.3,32.6,19.2,1010.2,73.0,6.6,1.1,3.5,134.45833333333334
24.8,30.1,21.3,1009.7,81.0,6.3,0.2,1.9,110.0
24.0,30.4,17.6,1011.2,75.0,6.3,0.9,5.4,160.0
24.6,30.7,17.8,1012.5,76.0,6.3,0.9,7.6,118.91666666666669
23.8,30.1,17.8,1011.2,75.0,6.3,1.1,3.5,185.95833333333331
18.1,28.1,9.9,1012.6,61.0,6.3,1.1,5.4,239.125
17.1,28.3,7.8,1012.2,55.0,6.3,1.3,5.4,365.29166666666674
18.1,29.3,6.9,1011.1,51.0,6.6,0.7,3.5,312.2083333333333
16.9,28.1,7.4,1014.0,62.0,6.3,0.7,5.4,121.33333333333331
17.4,30.2,6.8,1013.4,56.0,5.5,1.5,7.6,202.875
18.3,31.9,7.0,1013.8,53.0,5.5,0.7,3.5,260.1666666666667
18.1,30.5,7.0,1012.4,56.0,4.0,1.1,3.5,277.7083333333333
19.7,30.7,9.6,1013.2,49.0,6.6,1.3,3.5,284.1666666666667
18.6,30.6,9.4,1012.5,59.0,6.3,1.1,5.4,288.4166666666667
19.8,28.9,12.4,1016.2,68.0,5.5,1.7,7.6,166.91666666666666
19.7,28.2,13.0,1014.9,68.0,5.5,0.2,1.9,169.0
20.6,29.5,13.0,1013.8,68.0,5.5,0.7,3.5,186.04166666666663
20.5,29.3,14.2,1014.1,69.0,6.3,0.9,5.4,nan
20.4,28.8,13.5,1013.6,66.0,6.3,1.5,5.4,255.875
20.4,28.8,14.3,1015.2,66.0,5.5,0.9,3.5,217.08333333333331
20.2,28.9,13.4,1015.1,64.0,6.3,1.1,3.5,229.16666666666663
19.8,29.5,12.2,1013.0,70.0,6.3,0.4,1.9,298.4583333333333
21.0,30.8,13.7,1013.4,64.0,6.3,0.7,5.4,264.9166666666667
21.3,30.8,14.2,1012.9,60.0,5.5,1.1,3.5,404.5
22.2,30.2,16.3,1013.1,65.0,5.5,0.7,5.4,164.75
21.3,30.6,15.0,1014.1,65.0,5.5,1.5,7.6,376.91666666666674
19.8,30.2,11.6,1016.4,58.0,6.3,2.2,7.6,0.0
22.3,31.1,12.6,1015.6,64.0,6.3,0.9,5.4,0.0
23.1,28.6,18.9,1014.4,60.0,6.3,1.3,3.5,57.0
21.7,29.9,15.8,1013.0,67.0,6.3,1.7,7.6,202.91666666666663
21.8,29.6,15.2,1013.9,64.0,5.5,1.9,7.6,205.125
20.3,28.6,13.1,1014.7,58.0,5.5,2.0,7.6,214.125
20.2,29.2,12.8,1014.5,57.0,5.5,0.4,3.5,315.7916666666667
20.6,29.3,12.4,1014.0,55.0,5.8,3.0,9.4,322.25
20.7,29.3,12.9,1013.8,60.0,6.3,2.0,7.6,246.04166666666663
21.9,31.3,13.7,1012.0,58.0,5.5,1.1,3.5,200.91666666666663
21.9,33.8,13.1,1010.0,44.0,6.3,2.8,9.4,99.5
21.4,32.6,11.9,1009.1,42.0,6.3,2.8,9.4,143.91666666666666
19.7,30.3,10.2,1010.2,36.0,6.6,3.1,7.6,100.25
20.8,28.2,13.6,1009.8,61.0,6.9,5.6,11.1,165.0
20.1,26.9,13.9,1011.1,59.0,6.9,5.6,13.0,116.45833333333331
19.6,27.5,11.7,1010.4,60.0,6.3,5.4,11.1,143.0
21.7,32.5,11.4,1012.5,50.0,5.8,1.3,3.5,231.125
24.3,33.1,15.4,1010.1,55.0,5.5,3.9,9.4,218.66666666666663
23.8,29.0,20.0,1011.4,64.0,5.5,5.2,11.1,211.0
25.1,33.4,17.4,1012.2,50.0,6.3,3.0,7.6,52.20833333333334
25.0,32.3,17.6,1011.0,55.0,6.3,4.1,14.8,187.5
24.5,31.7,19.0,1010.7,53.0,6.9,6.9,20.6,130.16666666666666
19.2,28.9,9.4,1013.0,39.0,6.3,3.0,5.4,123.125
19.8,29.4,9.9,1012.2,42.0,6.3,1.5,3.5,120.91666666666669
22.2,30.4,11.6,1010.8,53.0,6.3,2.0,7.6,153.625
24.3,32.8,16.4,1011.3,54.0,6.9,2.0,7.6,130.33333333333334
25.3,33.3,17.0,1012.2,54.0,6.9,6.7,16.5,110.70833333333331
22.6,31.3,18.8,1012.5,75.0,6.3,3.0,7.6,138.5
24.2,33.8,18.2,1012.6,67.0,6.3,2.4,5.4,75.75
26.1,35.4,17.8,1012.0,51.0,6.9,1.5,3.5,146.54166666666666
25.6,35.6,18.1,1013.3,52.0,5.8,1.5,5.4,116.625
28.3,36.8,19.8,1010.9,41.0,6.3,1.5,3.5,80.04166666666667
29.1,37.3,19.2,1009.5,30.0,6.6,2.6,7.6,100.04166666666669
26.7,36.0,18.7,1009.2,27.0,6.3,3.1,11.1,109.45833333333331
27.8,35.9,18.0,1008.7,36.0,6.3,3.1,7.6,110.16666666666669
28.4,37.3,18.2,1008.4,39.0,6.3,1.3,5.4,108.20833333333331
28.7,38.3,20.0,1009.2,32.0,6.3,2.4,5.4,103.83333333333331
29.2,38.8,20.0,1008.0,33.0,6.9,3.9,9.4,74.29166666666667
27.8,36.6,19.5,1007.7,34.0,6.9,3.1,5.4,101.79166666666669
27.2,35.8,18.2,1008.2,29.0,6.3,2.2,5.4,106.16666666666669
28.8,37.1,16.8,1008.5,31.0,6.9,3.1,7.6,89.875
30.3,38.5,25.4,1009.6,33.0,6.9,3.5,7.6,48.20833333333334
29.0,37.1,25.3,1009.8,45.0,5.8,2.0,5.4,47.04166666666666
28.3,37.0,20.3,1010.4,36.0,6.6,2.6,5.4,67.79166666666667
25.7,38.1,15.6,1008.7,39.0,6.6,3.9,9.4,56.66666666666666
28.6,38.3,17.6,1009.0,34.0,6.9,2.8,7.6,79.0
29.4,38.6,20.2,1009.2,39.0,6.9,3.1,7.6,123.58333333333331
29.6,38.8,22.2,1008.8,47.0,6.9,2.4,5.4,80.29166666666667
29.0,37.3,22.6,1008.2,44.0,6.9,3.3,7.6,137.875
29.1,37.9,22.0,1006.7,43.0,7.4,2.2,3.5,87.875
30.4,39.6,21.0,1007.5,33.0,6.9,2.8,5.4,121.20833333333331
31.2,40.3,20.4,1006.9,28.0,7.7,3.1,7.6,97.04166666666669
32.0,39.8,25.2,1007.0,37.0,6.9,3.7,7.6,92.08333333333331
30.8,40.4,23.6,1005.9,39.0,6.6,4.8,7.6,130.625
31.8,39.0,25.9,1005.7,37.0,6.9,3.7,7.6,90.5
29.5,39.3,24.5,1006.2,43.0,6.9,1.7,7.6,55.41666666666666
29.6,37.0,25.2,1006.1,47.0,6.3,2.8,9.4,108.33333333333331
30.2,36.5,25.6,1005.2,47.0,6.3,3.5,5.4,198.875
29.0,36.1,24.7,1004.7,57.0,6.9,5.7,11.1,120.70833333333331
28.3,36.1,22.6,1008.8,50.0,6.9,7.4,9.4,60.54166666666666
27.7,36.0,21.8,1008.4,57.0,6.9,7.4,14.8,79.0
28.6,35.8,22.0,1007.4,53.0,6.9,6.7,9.4,133.70833333333334
31.0,38.3,25.6,1006.5,47.0,6.9,2.0,5.4,53.25
30.9,37.3,27.4,1006.4,53.0,6.3,4.4,9.4,65.16666666666667
30.8,37.8,26.6,1005.7,46.0,6.9,3.5,5.4,83.58333333333333
30.5,38.2,23.8,1005.4,40.0,6.9,7.0,9.4,40.66666666666666
30.2,39.4,24.0,1005.0,55.0,6.9,4.1,7.6,48.125
26.3,37.2,23.9,1006.6,67.0,5.3,7.6,20.6,103.16666666666669
29.3,37.2,23.2,1005.1,52.0,6.9,6.9,9.4,143.375
31.4,40.4,24.6,1004.4,55.0,7.4,6.5,9.4,71.95833333333333
29.0,35.1,26.5,1004.2,64.0,6.9,5.0,7.6,17.5
30.3,37.5,25.7,1002.0,57.0,6.9,8.9,20.6,101.0
30.4,37.4,25.0,1001.0,56.0,6.9,8.5,16.5,76.20833333333333
28.1,34.1,24.6,1001.6,70.0,6.9,4.1,7.6,84.33333333333333
28.4,34.6,24.5,1004.1,61.0,6.9,12.0,20.6,48.83333333333334
28.1,33.0,24.6,1005.2,65.0,7.4,11.9,20.6,64.45833333333333
27.1,32.4,24.0,1005.2,71.0,6.9,13.7,22.2,80.54166666666667
27.1,32.3,24.2,1001.4,71.0,6.9,10.0,20.6,65.41666666666667
27.8,31.9,25.0,1002.4,64.0,6.9,15.6,24.1,54.66666666666666
27.8,31.2,25.4,1004.9,63.0,6.9,18.9,25.9,78.54166666666667
27.1,33.0,20.9,1005.0,64.0,6.9,15.0,24.1,49.125
28.6,35.3,23.1,1007.6,61.0,7.7,11.1,20.6,72.41666666666667
27.0,33.2,24.4,1007.5,65.0,6.9,6.5,11.1,184.66666666666663
26.3,31.1,23.2,1008.1,67.0,6.9,8.5,18.3,113.33333333333331
25.5,30.8,22.9,1006.1,72.0,6.9,10.2,14.8,146.20833333333334
27.6,33.0,25.0,1006.0,67.0,6.9,7.6,11.1,112.29166666666669
26.9,33.0,24.4,1004.9,66.0,6.9,11.1,14.8,60.625
26.9,32.6,24.2,1004.8,67.0,8.2,7.2,11.1,71.0
24.4,28.8,22.8,1001.5,84.0,6.9,8.3,16.5,81.125
24.3,27.0,23.0,1000.7,89.0,6.9,6.7,7.6,197.66666666666663
24.9,28.1,23.2,1004.8,79.0,6.9,9.4,11.1,160.375
24.0,27.5,23.0,1004.3,86.0,6.9,9.3,20.6,99.375
23.7,25.3,23.0,1003.7,89.0,6.9,7.6,16.5,123.875
25.3,29.6,23.0,1007.2,79.0,6.9,8.9,24.1,47.375
23.9,27.5,23.1,1007.6,86.0,6.3,7.8,9.4,38.16666666666666
23.6,25.8,22.8,1005.1,87.0,4.8,7.2,9.4,42.54166666666666
24.3,27.9,22.7,1004.2,85.0,6.9,4.1,7.6,45.83333333333334
24.2,28.9,22.8,1003.7,85.0,6.6,10.4,20.6,33.708333333333336
24.0,28.0,22.2,1003.8,84.0,6.6,5.6,11.1,26.41666666666667
23.8,27.6,21.6,1004.8,84.0,6.9,4.8,7.6,30.66666666666667
24.4,28.4,21.6,1006.2,85.0,7.4,5.0,11.1,29.95833333333333
25.3,29.4,22.3,1007.6,77.0,6.6,8.7,14.8,22.33333333333333
24.1,28.5,22.4,1007.7,81.0,6.9,4.6,9.4,25.08333333333333
25.9,32.6,23.8,1008.2,82.0,6.3,1.5,5.4,66.79166666666667
26.4,32.9,23.4,1006.8,83.0,6.3,1.1,5.4,64.875
26.1,32.6,23.8,1005.4,86.0,6.3,2.0,5.4,47.58333333333334
25.9,32.1,22.6,1006.8,83.0,6.9,2.6,9.4,33.5
23.5,27.9,22.2,1007.7,91.0,5.5,2.6,7.6,43.04166666666666
23.6,27.6,21.6,1006.6,86.0,6.3,4.4,7.6,38.41666666666666
23.8,27.1,22.6,1001.4,90.0,5.8,4.8,9.4,49.29166666666666
23.3,25.3,22.0,1000.6,86.0,6.0,6.9,11.1,19.541666666666668
23.9,27.7,21.5,1004.4,87.0,5.5,2.8,7.6,24.29166666666667
24.6,28.3,22.1,1006.3,78.0,6.9,7.6,11.1,74.66666666666667
23.6,26.4,22.0,1006.5,84.0,6.6,6.5,9.4,41.875
23.3,27.9,21.6,1007.3,85.0,6.3,6.7,11.1,50.58333333333334
24.7,29.9,21.0,1008.4,80.0,7.4,5.7,9.4,58.125
24.7,30.0,20.1,1007.6,77.0,6.9,2.8,7.6,38.25
25.1,30.7,21.7,1008.4,78.0,7.2,5.6,9.4,47.41666666666666
23.8,30.3,20.0,1008.5,80.0,6.6,5.4,9.4,54.625
24.9,33.4,22.0,1008.9,86.0,5.8,1.9,9.4,45.95833333333334
26.3,33.0,21.3,1010.6,63.0,6.3,3.1,9.4,43.33333333333334
23.9,31.4,21.1,1011.9,85.0,5.5,1.3,3.5,41.958333333333336
26.3,33.1,20.8,1010.6,71.0,6.9,1.1,5.4,0.0
27.8,34.7,23.6,1009.6,63.0,6.3,2.2,5.4,0.0
25.3,32.9,21.0,1008.6,75.0,6.3,0.9,5.4,45.75
24.8,30.3,21.4,1008.6,81.0,5.5,1.9,5.4,70.70833333333333
25.7,32.4,20.7,1008.8,77.0,5.5,0.4,3.5,51.79166666666666
25.5,33.3,18.1,1006.4,52.0,7.4,2.6,7.6,0.0
25.3,33.9,16.6,1008.8,55.0,6.9,1.7,7.6,11.583333333333336
27.2,34.0,19.6,1010.5,66.0,6.3,0.9,3.5,13.0
26.3,32.9,21.0,1010.2,71.0,6.3,1.5,3.5,156.25
26.1,32.9,20.6,1011.1,66.0,6.9,2.8,9.4,156.0
26.8,33.1,19.5,1011.8,62.0,6.6,3.1,11.1,151.79166666666666
20.7,23.0,19.3,1013.0,83.0,4.0,1.3,5.4,252.625
20.7,24.0,17.5,1014.7,88.0,4.8,3.1,7.6,119.41666666666669
22.1,26.0,19.6,1014.4,81.0,6.3,2.8,7.6,126.0
22.7,31.8,15.4,1011.9,59.0,6.3,1.5,5.4,232.33333333333331
23.1,32.3,15.7,1012.0,57.0,6.3,1.7,7.6,215.54166666666663
23.4,32.4,15.2,1012.0,60.0,6.3,1.3,5.4,239.41666666666663
23.8,32.7,17.2,1012.9,65.0,5.5,1.5,5.4,196.54166666666663
22.8,32.3,15.4,1012.5,56.0,6.3,0.2,1.9,232.54166666666663
22.8,31.0,15.6,1012.7,56.0,5.5,1.9,5.4,185.5
23.1,31.4,15.0,1012.7,53.0,6.3,1.9,5.4,282.1666666666667
25.7,31.8,21.3,1011.9,69.0,6.9,4.4,7.6,257.6666666666667
24.4,28.6,21.8,1013.5,77.0,6.6,4.8,11.1,166.875
22.5,24.8,21.3,1013.9,94.0,4.0,1.5,5.4,135.16666666666666
24.4,30.9,20.1,1013.8,78.0,4.8,2.8,9.4,211.45833333333331
22.7,31.0,16.4,1013.4,63.0,5.5,2.0,7.6,215.5
22.1,30.1,15.6,1012.9,66.0,5.8,2.6,9.4,223.375
20.9,29.3,15.1,1013.1,70.0,5.5,1.9,9.4,135.58333333333334
20.4,29.8,13.4,1011.6,61.0,5.5,0.9,3.5,152.04166666666666
20.4,30.6,13.0,1011.5,61.0,6.3,0.7,3.5,141.41666666666666
20.0,29.3,12.4,1013.3,57.0,6.3,2.0,14.8,46.70833333333334
20.4,29.9,13.2,1014.0,61.0,6.3,3.1,7.6,91.75
21.2,30.3,13.6,1013.7,60.0,5.5,1.5,7.6,99.91666666666669
20.1,30.4,11.9,1013.3,58.0,6.3,1.1,5.4,119.70833333333331
20.9,31.2,13.3,1013.3,60.0,6.3,0.7,3.5,110.875
22.2,31.1,14.0,1013.5,65.0,5.5,0.9,3.5,200.33333333333331
22.8,27.9,19.4,1012.9,85.0,5.5,1.1,5.4,203.58333333333331
21.0,29.3,12.9,1014.1,73.0,6.0,1.1,3.5,25.08333333333333
19.2,28.1,12.6,1014.8,65.0,6.3,0.4,3.5,57.08333333333334
