T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
29.6,36.9,20.6,1007.7,37,6.9,1.9,3.5,52.333333333333336
28.1,36.1,20.6,1007.7,39,6.3,3.1,7.6,52.041666666666664
27.6,36,17.9,1007.9,32,6.9,3.5,7.6,128.33333333333334
27.7,37,16.2,1007.4,35,6.9,3.3,7.6,0.0
28.3,37.8,16.6,1007.7,30,6.9,4.8,14.8,23.208333333333332
27.5,36,17.9,1008.9,36,6.9,4.1,9.4,15.166666666666666
26.3,36.1,18.6,1009.4,39,6.9,3.1,11.1,21.25
27.6,37,16.5,1007.3,28,6.3,3,7.6,81.83333333333333
28.1,38.3,15.1,1007.2,26,6.9,3.9,7.6,105.33333333333333
29.7,38.9,17.1,1006.7,29,6.9,1.9,3.5,117.75
31.6,39.5,21.7,1007.1,29,6.9,3.1,7.6,84.5
30.3,38.3,21.7,1008.1,34,6.9,3.5,7.6,46.916666666666664
28.6,37.8,19.9,1007.5,27,6.9,6.5,9.4,104.625
26.7,34.6,20.4,1006.3,52,6.9,6.9,11.1,110.875
26.9,34.7,19.9,1006.6,51,6.9,6.9,16.5,42.958333333333336
27.4,35.6,19.4,1006.5,52,6.9,6.5,14.8,0.0
31.4,39.1,22.8,1007.8,41,6.9,1.1,3.5,120.875
31.1,38.8,23.6,1008.4,37,6.9,1.1,3.5,79.91666666666667
32,39.7,21.5,1007.3,30,6.9,2.2,5.4,0.0
32.9,41.3,22.8,1004.2,34,6.9,4.8,9.4,94.75
32.8,40.4,26.2,1003.2,32,6.6,5.6,7.6,142.5
30.6,37.2,22.6,1004.2,26,6.9,6.7,14.8,133.375
30.4,40,22.7,1005.3,45,6.9,5.6,11.1,147.83333333333334
30.7,39.8,23,1005.6,44,6.9,5.9,9.4,158.29166666666666
30.7,37.8,24.2,1006,44,6.9,6.1,11.1,149.58333333333334
28.9,36.7,20.8,1004.9,53,6.9,5.6,7.6,101.5
29,36.1,23.2,1004.4,51,6.9,6.3,7.6,106.5
29.1,36.6,23.8,1004.1,56,7.6,5.9,7.6,128.125
30.8,38.2,24.9,1004.7,47,6.9,6.5,7.6,101.95833333333333
31.6,40.6,25.4,1004.4,49,6.9,5.9,16.5,98.41666666666667
29.1,34.3,25.6,1006.9,54,6.9,8.9,14.8,94.375
29.1,35.8,24.5,1006.6,58,6.9,11.5,16.5,107.625
29.5,36.1,24.9,1006.3,57,6.9,10.2,18.3,110.41666666666667
29.3,35.5,24.8,1006.5,58,6.3,12.6,20.6,95.83333333333333
29.1,35.8,23.9,1003,55,6.9,10.2,16.5,72.25
29.1,36.6,23.6,1003.5,55,6.9,6.9,14.8,38.666666666666664
27.8,35.4,22,1002.6,60,6.6,5,11.1,45.375
25.4,36.1,22.7,1003.5,74,6.9,5.2,14.8,65.16666666666667
26,33.1,20.8,1002.6,81,6.9,1.5,5.4,66.08333333333333
26.1,31.4,22.8,1002.3,75,6.3,4.4,11.1,77.66666666666667
24.7,28.1,23.4,1003.4,81,5.5,5.7,9.4,70.25
25.4,29.3,22.4,999.9,75,7.7,8.3,16.5,56.291666666666664
24.5,28.2,22.3,999.7,79,5.5,7.6,9.4,77.0
25.3,32,22.2,998.8,79,6.3,5.9,9.4,32.958333333333336
25.7,30.4,21.2,1003.2,78,7.4,6.3,7.6,80.625
25.2,29.8,22,1004.6,77,6.9,7.4,11.1,90.70833333333333
25.5,29.1,22.7,1005,74,6.3,7.4,11.1,97.29166666666667
23.4,26.1,21.9,1004.4,89,4,4.8,11.1,50.708333333333336
24.3,27.6,21.8,1005.7,85,6.3,4.4,7.6,40.375
24.8,28.3,22.4,1005,80,6.9,7.2,14.8,49.416666666666664
24.1,27.8,21.8,1004,85,4.8,4.3,11.1,61.875
24.6,28.2,22.2,1002.3,85,6.3,4.8,7.6,0.0
24.2,26.3,22.6,1002.2,87,5.8,5.2,7.6,29.666666666666668
24.6,30.1,22.4,1004.8,83,6.9,6.7,14.8,49.125
24.4,28.8,21.8,1004.2,80,6.3,7.4,11.1,43.666666666666664
24.6,28.7,22.1,1003.3,79,6.3,5.9,7.6,29.833333333333332
24.1,27.6,21.6,1003.9,84,6.9,8.1,14.8,35.208333333333336
24,27.6,21.7,1004.6,83,6.3,5.2,9.4,37.625
23.9,26.9,21.9,1004.7,81,6.3,4.3,5.4,41.458333333333336
23,24.4,22,1002.3,91,4.8,4.8,14.8,38.583333333333336
22.9,25.7,21.4,1003.4,92,4.8,4.6,7.6,36.0
23.4,26.9,21.7,1002.7,90,4,5.2,7.6,70.58333333333333
23.2,26.1,21.6,1001.8,89,6.3,6.9,11.1,33.166666666666664
23.5,27.5,21.4,1001.9,87,4,4.3,7.6,38.25
23.3,26.4,21.8,1003.9,92,4.8,4.3,7.6,26.583333333333332
22.5,24.4,21.7,1002.3,90,4,10,20.6,15.416666666666666
22.6,24.2,21.2,1000.8,90,4.8,7.4,11.1,41.375
22.9,25.5,20.2,1002.3,84,5.5,5.9,7.6,25.541666666666668
24.4,28.8,21.3,1004.5,79,5.5,7.2,20.6,28.375
24.1,27.8,20.9,1006.9,81,6.9,3.1,5.4,50.333333333333336
23.6,27.2,20,1007.3,83,6.9,4.8,9.4,35.375
23.3,26.4,21.4,1007.1,84,6.9,7.6,14.8,31.916666666666668
23.2,26.1,21.4,1004.3,87,5.5,6.7,9.4,35.291666666666664
24.3,28.7,21.5,1004.6,83,6.9,4.8,11.1,26.833333333333332
24.3,29,21.8,1005.9,81,6.9,2.8,5.4,21.125
24.8,28.6,21.4,1006,74,6.3,6.7,11.1,35.708333333333336
24.9,29.4,21.9,1005.3,70,6.9,15,22.2,43.583333333333336
25,29.7,22.5,1004.9,72,6.9,13.3,24.1,46.041666666666664
23.1,26.7,21.3,1006.1,83,5.5,4.4,5.4,82.875
23.2,26.3,20.5,1006.2,83,5.5,5,7.6,64.91666666666667
24.2,27.4,20,1006.8,79,6.9,6.3,16.5,30.666666666666668
24.6,30.7,19.8,1008.3,78,6.9,3.7,7.6,34.416666666666664
25.1,31.3,18.2,1008.6,70,6.9,4.6,9.4,33.166666666666664
24.9,30.5,19.5,1008.9,73,6.9,3.3,5.4,30.625
24.8,30,19.7,1008.8,72,6.9,5.7,7.6,30.333333333333332
24,29.7,19.6,1009.1,75,6.9,5.9,11.1,0.0
24.7,30.5,21,1008.7,76,6.3,3,7.6,0.0
23.8,27.5,21.6,1008.8,88,6.3,2.2,5.4,0.0
25.4,32.3,21.4,1007.4,83,5.5,0.7,5.4,76.875
24.7,32.4,21,1006.5,80,6.3,1.1,3.5,83.45833333333333
25.1,30.7,22.1,1004.2,81,6.9,2,5.4,71.66666666666667
23.6,27.8,19.6,1003.4,86,6.3,2.4,5.4,69.70833333333333
25.6,29.3,21.4,1002.9,80,6.9,8.9,20.6,62.375
24.7,28.9,21.9,1003.6,76,6.9,10.7,16.5,24.875
24.1,27.9,21.5,1006.8,79,5.5,4.3,9.4,43.958333333333336
24.5,30.1,20.9,1008.8,82,6.9,2.6,7.6,41.5
24.1,28.8,20.2,1009.4,83,6.3,3.9,7.6,38.791666666666664
25.2,30.2,21.2,1006,75,6.9,5.9,7.6,30.333333333333332
25.1,31,21,1006.6,75,6.9,4.4,11.1,26.666666666666668
26.4,31.6,20.6,1005.7,70,6.9,4.3,7.6,29.0
24.9,31.2,19.9,1009.5,77,5.8,2.2,5.4,61.708333333333336
25.1,31,21,1009.6,77,6.9,4.8,7.6,60.541666666666664
23.8,29.7,20.1,1009.6,75,7.7,4.3,7.6,41.583333333333336
24.7,29,20.5,1007.3,78,6.6,4.1,9.4,80.04166666666667
25,31.7,19.9,1008.8,77,6.3,1.3,3.5,82.83333333333333
24.9,32.1,19.4,1009.7,79,5.5,0.9,3.5,95.25
26.3,33.4,17.5,1010.5,65,6.9,1.1,5.4,126.16666666666667
26.1,32.8,18.9,1009.5,64,6.3,1.5,5.4,136.70833333333334
24.1,32.1,18.3,1008.2,64,6.3,0.7,5.4,160.66666666666666
25.5,32.1,20.7,1006.2,75,6.3,1.9,5.4,245.66666666666666
26.4,31.7,21.1,1007.2,75,6.3,0.9,5.4,261.6666666666667
26.6,33.3,21.7,1008.9,74,6.3,2.2,5.4,272.4166666666667
24.2,31.5,18.2,1012.9,60,6.3,0.4,3.5,149.625
23.3,30.3,15.2,1013.1,57,6.6,1.3,5.4,99.70833333333333
26.2,31.7,15.8,1012,60,6.9,2,3.5,217.375
25.3,32.3,17.8,1012.3,65,6.3,1.3,5.4,309.375
22.7,29.9,14.7,1012.6,65,6.3,2,9.4,321.5416666666667
23.5,30.6,16.1,1011.5,66,5.5,0.9,3.5,278.0
22.9,30.2,16.7,1011.6,64,5.5,1.7,7.6,192.33333333333334
21,30.3,12.1,1011.4,59,4.8,0.4,1.9,224.16666666666666
20.6,29.3,12.6,1012.3,61,6.3,1.3,3.5,196.75
20.4,28.6,12.7,1012.8,59,6.3,1.9,7.6,221.54166666666666
23.8,32.6,15.5,1012.8,59,6.3,0.2,1.9,166.70833333333334
21.8,32,13.6,1010.9,59,6,0.2,1.9,130.70833333333334
20.6,31.2,11.7,1009.7,56,5.5,0.9,3.5,194.70833333333334
25.3,32.6,19.2,1010.2,73,6.6,1.1,3.5,134.45833333333334
24.8,30.1,21.3,1009.7,81,6.3,0.2,1.9,110.0
24,30.4,17.6,1011.2,75,6.3,0.9,5.4,160.0
24.6,30.7,17.8,1012.5,76,6.3,0.9,7.6,118.91666666666667
23.8,30.1,17.8,1011.2,75,6.3,1.1,3.5,185.95833333333334
18.1,28.1,9.9,1012.6,61,6.3,1.1,5.4,239.125
17.1,28.3,7.8,1012.2,55,6.3,1.3,5.4,365.2916666666667
18.1,29.3,6.9,1011.1,51,6.6,0.7,3.5,312.2083333333333
16.9,28.1,7.4,1014,62,6.3,0.7,5.4,121.33333333333333
17.4,30.2,6.8,1013.4,56,5.5,1.5,7.6,202.875
18.3,31.9,7,1013.8,53,5.5,0.7,3.5,260.1666666666667
18.1,30.5,7,1012.4,56,4,1.1,3.5,277.7083333333333
19.7,30.7,9.6,1013.2,49,6.6,1.3,3.5,284.1666666666667
18.6,30.6,9.4,1012.5,59,6.3,1.1,5.4,288.4166666666667
19.8,28.9,12.4,1016.2,68,5.5,1.7,7.6,166.91666666666666
19.7,28.2,13,1014.9,68,5.5,0.2,1.9,169.0
20.6,29.5,13,1013.8,68,5.5,0.7,3.5,186.04166666666666
20.5,29.3,14.2,1014.1,69,6.3,0.9,5.4
